ids,MoM LogNorm RB,LogNorm RB,2-NN RB,8-NN RB,LSTM Time RB,LSTM Dist. RB,LSTM-4NN RB,LSTM-LN-4NN RB,MoM LogNorm MB,LogNorm MB,2-NN MB,8-NN MB,LSTM Time MB,LSTM Dist. MB,LSTM-4NN MB,LSTM-LN-4NN MB,MoM LogNorm RMSE,LogNorm RMSE,2-NN RMSE,8-NN RMSE,LSTM Time RMSE,LSTM Dist. RMSE,LSTM-4NN RMSE,LSTM-LN-4NN RMSE,MoM LogNorm KLD,LogNorm KLD,2-NN KLD,8-NN KLD,LSTM Time KLD,LSTM Dist. KLD,LSTM-4NN KLD,LSTM-LN-4NN KLD
12330000,20.51752226225689,-9.94854493481821,31.45541810735675,40.5172661333594,41.83738805776021,50.49310688881936,32.13254428161828,17.94912344526564,1.3716793683586797,-0.6651004764538432,2.10292195565583,2.7087431565585938,2.796998647853933,3.375668469049562,2.148189588655259,1.1999709631666238,50.216033419953845,54.043235676421645,26.068845552797846,32.46031603469666,41.95297733547723,45.21848923903802,28.558172617804534,27.7002762945048,0.2807668273492175,0.2884338149005683,0.0520239879589711,0.0853836046839435,0.288628540704677,0.1358226010440122,0.0660450309514999,0.1067826747894287
05BF017,15.916285037137708,22.59058961501945,32.73923366553632,51.017364041195556,-24.306028933386152,-22.004434868205593,-2.57353280430645,4.8127972266234496,2.442155556643866,3.466244404862856,5.023427340613269,7.8279786261565105,-3.729457186844297,-3.3763062648606788,-0.3946920781731058,0.738118797639997,121.04013299374579,42.69105314125896,125.60222381557367,64.74439573626509,29.86552971464034,26.412634442888816,33.18799944728077,29.220283934849366,0.4302295689156696,0.0951149112667004,0.1804414431064277,0.1018200664301669,0.200224582563024,0.0985182349154315,0.0531122423708438,0.0557241216301918
12121600,7.28480834616738,14.2734133590321,10.31304284236196,25.05625400167048,0.93741204277048,3.51417392762957,12.67385586334936,13.16274777231258,1.7795952626847595,3.486831442784433,2.5193582746467245,6.120955940516695,0.2289990280081518,0.8584724507062809,3.096078622966897,3.215509347491683,14.495318608228125,18.97544489975871,9.619283598132977,22.20212963937196,5.041741069622185,8.12095244417761,9.927762448809375,12.336799160358192,0.0577923368938722,0.0689999840337711,0.0209211472597135,0.0563319070544968,0.0087989461608361,0.0180238953506555,0.0179802048951387,0.0311366878449916
09AG003,20.58965284030937,-37.44090535739209,-30.283433465985933,22.65207793553147,-9.01657501202355,-1.92439973891071,-2.9428111719459498,-14.438042507392602,1.5203836427619166,-2.7647158753513303,-2.236192967674244,1.672677486835795,-0.6658030258372466,-0.1421017589692975,-0.2173035807174165,-1.0661364770244606,116.79293783481918,55.548346812431795,47.940294010779304,49.696436506124584,26.60411435165606,18.185600682142766,31.18349099256619,26.80109178881629,0.5772361434454133,0.150667455768808,0.2747974043197272,0.1905445627526181,0.5103063145623419,0.0702760562340866,0.1075363829731941,0.0853822529315948
09AE004,19.25257364759801,44.87417931417545,66.69562094059103,65.12058336984907,17.982624086548128,24.3954485016852,36.69184688955658,39.34486227727143,1.4320709217695011,3.33789178062013,4.961043708060183,4.84388713735747,1.3376078192366945,1.8146151814434115,2.729262974178182,2.926603181374894,35.14184021036033,47.65802706908286,50.57381867597059,49.94561873813175,35.683287770035754,36.21413248159622,36.57944095286625,39.97169921480879,0.1787818975188528,0.207249760134811,0.1543968181930603,0.1290850157024783,0.4345799746148679,0.1943210694169707,0.1374445855617523,0.1548952311277389
08LE075,-2.2191535145198698,-9.3720136726198,26.16196811504729,-11.29192189120542,-6.70034466570093,-1.97613825773146,0.12141794700675,-2.9815971493612503,-0.1094672053993762,-0.4623060725604647,1.290527004357078,-0.5570119980121038,-0.3305170196508868,-0.0974796611145934,0.0059893536405684,-0.1470774311497951,50.81091351946463,41.45960683282301,60.92499531498443,37.36104852572828,17.449602428457013,15.574565014585984,14.586305103498276,22.713844901717284,0.1698313882069186,0.1484576935012036,0.2317876994051976,0.0670164222395707,0.0861003113017945,0.0355166601887969,0.025363290682435,0.051039058715105
08GD006,-25.8400495739811,-23.21165754489456,-10.66383988172041,-15.37220510865446,-16.01554538702435,-14.3888338813688,-13.335487183496312,-16.93367307101015,-9.266555090232586,-8.323981839104485,-3.824182281634729,-5.512659141379306,-5.74336876576342,-5.1600102958071306,-4.782314629806544,-6.0726804615038406,37.42978912102999,42.30449730240604,20.16800999079784,33.845626784109626,23.4365238848262,22.681734761106576,19.740979579300234,25.613730378036227,0.2394862386448574,0.2160351861460692,0.0788132523653586,0.1353223808843227,0.0966607310291877,0.0318313702325788,0.0367990247905254,0.0694682225584983
08HB014,-29.07031103211632,-37.59329608998135,-27.93938630585838,-18.28333192458318,-31.99586660598482,-30.749858825898603,-26.61428629054104,-30.276350946843028,-32.58558596593282,-42.13919762088193,-31.317906206752955,-20.494210863928856,-35.864909071388624,-34.46823004764635,-29.832585045392,-33.937480217414,41.58005500712996,43.27079537339837,24.11585849255944,24.02178712364613,44.80333155465668,44.89362335938007,27.40335694687557,30.874720565367998,0.1048701669304791,0.0728006449113761,0.0332192430294068,0.0405661700693648,0.0872692805279319,0.0740449178476905,0.0374276749789714,0.040934145450592
08NL024,6.965549326895521,-13.39975010566358,-10.685008670754769,13.640752184548449,-12.32841632086757,-8.21552930613062,-9.62561011887829,-10.91476671393584,0.8211218325509227,-1.579606553068623,-1.2595839163288225,1.6080166696833198,-1.453314207790309,-0.9684735779815936,-1.1346978435565145,-1.2866677644604918,58.095267876414745,30.695535683875374,18.39532405061901,18.873091058930335,15.384783314840057,16.891248349625656,16.048752518585818,15.2064048716259,0.1780433129997541,0.1144550309095479,0.0309826198979865,0.037808440125327,0.061498956762222,0.0468065598201953,0.0342065766453743,0.0385950803756713
08HB086,-37.79890098327652,-38.53163260412712,-49.279422230468015,-43.86296164216923,-47.25325540959419,-46.32683443792365,-44.88468495022391,-42.83134653471781,-62.82688903744118,-64.04478815725349,-81.90906909363927,-72.90617854644373,-78.5413056212911,-77.00146858701184,-74.60449085438975,-71.1915613170548,176.42149780504982,173.77689651329717,146.2510302809379,114.41165646888885,199.80726901512455,191.4112615095818,123.69518492068607,134.9285182647268,0.5382639782859862,0.5273529189879789,0.3845691773410998,0.3061688839666931,1.0380669724111176,0.8073765735930184,0.3711047768592834,0.3191151618957519
