,region,official_id,drainage_area_km2,centroid_lon_deg_e,centroid_lat_deg_n,logk_ice_x100,porosity_x100,land_use_forest_frac_2010,land_use_shrubs_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_crops_frac_2010,land_use_urban_frac_2010,land_use_water_frac_2010,land_use_snow_ice_frac_2010,lulc_check_2010,land_use_forest_frac_2015,land_use_shrubs_frac_2015,land_use_grass_frac_2015,land_use_wetland_frac_2015,land_use_crops_frac_2015,land_use_urban_frac_2015,land_use_water_frac_2015,land_use_snow_ice_frac_2015,lulc_check_2015,land_use_forest_frac_2020,land_use_shrubs_frac_2020,land_use_grass_frac_2020,land_use_wetland_frac_2020,land_use_crops_frac_2020,land_use_urban_frac_2020,land_use_water_frac_2020,land_use_snow_ice_frac_2020,lulc_check_2020,slope_deg,aspect_deg,median_el,mean_el,max_el,min_el,elevation_m,prcp,tmin,tmax,vp,swe,srad,low_prcp_duration,low_prcp_freq,high_prcp_duration,high_prcp_freq,q_mean_mm,q_sd_mm,record_len_years,camels_q_mean_mm,n_years,log_drainage_area_km2,n_complete_years,tmean,replaced_zero_flow_uar_mean,replaced_zero_flow_uar_median,replaced_zero_flow_uar_mad,replaced_zero_flow_uar_std,replaced_zero_flow_uar_skew,replaced_zero_flow_uar_kurt,log_uar_mean,log_uar_median,log_uar_mad,log_uar_std,log_uar_skew,log_uar_kurt
1200,CLR,12447390,57.9,-120.177301433549,48.8750528710654,-1410.0,1.0,0.1,0.13,0.75,0.01,0.01,0.0,0.0,0.0,0.0,0.12,0.72,0.14,0.01,0.01,0.0,0.0,0.0,0.0,0.11,0.73,0.13,0.01,0.01,0.0,0.0,0.0,0.01,21.267454,139.878792024467,1978.9955,1940.4832,2577.7405,1305.3153,1940.4832,894.0,-2.4,6.4,512.7,353.1,328.7,5.9,0.7,1.1,0.1,1.40453062524923,2.69769131241196,51,1.36554402331903,50,4.07584109065754,55.0,2.0,1.7562898397445679,1.3374488353729248,1.0544346570968628,1.2967602014541626,0.9200838208198547,-0.1160411462187767,1.7562898397445679,1.3374488353729248,1.0544346570968628,1.2967602014541626,0.9200838208198547,-0.1160411462187767
1202,CLR,12448000,1357.9,-120.120021334542,48.7410026851406,-1401.28,2.67665,0.35,0.17,0.45,0.02,0.01,0.0,0.0,0.0,0.0,0.35,0.51,0.12,0.02,0.01,0.0,0.0,0.0,-0.01,0.33,0.5,0.14,0.02,0.01,0.0,0.0,0.0,0.0,19.683184,184.678946445474,1722.2653,1613.1403,2635.9214,535.21295,1613.1403,749.6,-1.3,8.4,533.5,225.1,312.3,6.5,0.8,1.1,0.1,0.78451001035906,1.41172301965796,28,,27,7.21443082792645,32.0,3.5500000000000003,1.3015903234481812,0.8733408451080322,0.9465115666389465,1.1692280769348145,1.0264482498168945,0.09911031275987625,1.3015903234481812,0.8733408451080322,0.9465115666389465,1.1692280769348145,1.0264482498168945,0.09911031275987625
1203,CLR,12448500,2683.6,-120.293850388819,48.6978323024006,-1415.02,7.62887,0.45,0.18,0.34,0.02,0.01,0.0,0.0,0.0,0.0,0.45,0.37,0.15,0.02,0.01,0.0,0.0,0.0,0.0,0.4,0.36,0.21,0.02,0.01,0.0,0.0,0.0,0.0,22.651175,155.90577569571,1677.9176,1592.4099,2718.8223,528.88196,1592.4099,881.9,-1.5,8.4,525.6,293.8,315.4,5.9,0.7,1.1,0.1,1.16975572744637,1.86662540666255,32,,47,7.89528702005354,34.0,3.45,1.8581764698028564,1.4355008602142334,0.9128301739692688,1.098114252090454,0.9668084383010864,-0.1761067658662796,1.8581764698028564,1.4355008602142334,0.9128301739692688,1.098114252090454,0.9668084383010864,-0.1761067658662796
1205,CLR,12448998,632.7,-120.414081236042,48.3735946489723,-1378.74,6.52202,0.64,0.14,0.19,0.01,0.01,0.0,0.0,0.0,0.01,0.62,0.14,0.21,0.01,0.01,0.0,0.0,0.0,0.01,0.38,0.13,0.45,0.01,0.01,0.0,0.0,0.0,0.02,24.786043,75.646534589809,1477.2861,1465.5326,2675.863,500.073,1465.5326,999.5,-0.9,9.4,539.5,320.9,314.1,5.9,0.7,1.1,0.1,1.02805737034455,1.53572260098086,35,,43,6.45157565632947,37.0,4.25,1.760727047920227,1.4642282724380493,0.9516933560371399,1.141560673713684,0.6421859860420227,-0.5514355897903442,1.760727047920227,1.4642282724380493,0.9516933560371399,1.141560673713684,0.6421859860420227,-0.5514355897903442
1206,CLR,12449500,3424.2,-120.310792481337,48.6299288687568,-1403.75,7.34897,0.48,0.18,0.31,0.02,0.01,0.0,0.0,0.0,0.0,0.47,0.33,0.17,0.02,0.01,0.0,0.0,0.0,0.0,0.39,0.32,0.26,0.02,0.01,0.0,0.0,0.0,0.0,22.784163,141.687126032884,1623.621,1545.8215,2718.8223,477.9238,1545.8215,893.7,-1.3,8.7,529.7,291.4,314.3,5.9,0.7,1.1,0.1,1.10198748029891,1.69086906136632,41,,69,8.13891514315204,44.0,3.7,1.822731375694275,1.4315185546875,0.9048461318016052,1.0900579690933228,0.9273353219032288,-0.2575886845588684,1.822731375694275,1.4315185546875,0.9048461318016052,1.0900579690933228,0.9273353219032288,-0.2575886845588684
1207,CLR,12449600,161.3,-119.956810541119,48.4739534110297,-1410.0,1.0,0.44,0.13,0.41,0.02,0.01,0.0,0.0,0.0,-0.01,0.38,0.41,0.18,0.02,0.01,0.0,0.0,0.0,0.0,0.38,0.43,0.17,0.01,0.01,0.0,0.0,0.0,0.0,18.44121,201.666892616727,1563.6964,1553.7762,2246.6306,834.12506,1553.7762,667.0,-0.5,9.3,557.4,158.6,311.3,7.8,0.8,1.1,0.1,0.303888985555007,0.560355662503683,19,,17,5.08944647452055,17.0,4.4,0.7088778614997864,0.3929040729999542,0.681889533996582,0.8977165818214417,1.484071969985962,1.7016355991363525,0.7088778614997864,0.3929040729999542,0.681889533996582,0.8977165818214417,1.484071969985962,1.7016355991363525
1210,CLR,12449950,4644.3,-120.249600335526,48.5323713804713,-1393.64,6.04131,0.48,0.2,0.3,0.02,0.01,0.0,0.0,0.0,-0.01,0.43,0.28,0.26,0.02,0.01,0.0,0.0,0.0,0.0,0.38,0.28,0.31,0.02,0.01,0.0,0.0,0.0,0.0,21.776505,139.227877300859,1463.9548,1430.6434,2718.8223,278.7468,1430.6434,816.2,-0.6,9.6,541.5,244.9,310.0,6.4,0.7,1.1,0.1,0.832701416364833,1.25463394235626,60,,59,8.44361123473827,64.0,4.5,1.6373451948165894,1.2452224493026733,0.8435351848602295,1.0194966793060303,0.9807451367378235,-0.10910645127296448,1.6373451948165894,1.2452224493026733,0.8435351848602295,1.0194966793060303,0.9807451367378235,-0.10910645127296448
1211,WWA,12451000,829.3,-120.859802085414,48.3901429278958,-1391.99,0.95293,0.54,0.15,0.25,0.01,0.01,0.01,0.01,0.02,0.0,0.54,0.15,0.26,0.01,0.01,0.01,0.01,0.02,-0.01,0.54,0.14,0.25,0.01,0.01,0.01,0.01,0.02,0.0099999999999998,30.615252,197.573876487304,1590.8096,1537.2643,2871.6335,342.92917,1537.2643,1630.3,-1.4,8.1,549.7,473.5,309.2,5.0,0.6,1.1,0.0,4.30840112991728,4.83396615482941,69,4.19344679064688,69,6.72178708126799,74.0,3.35,3.409372329711914,3.2602415084838867,0.816554844379425,0.9736052751541138,0.3577406704425812,-0.7568545937538147,3.409372329711914,3.2602415084838867,0.816554844379425,0.9736052751541138,0.3577406704425812,-0.7568545937538147
1212,WWA,12451500,167.2,-120.76966246231,48.1917697382703,-1409.88,1.02213,0.49,0.12,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.49,0.12,0.34,0.01,0.01,0.01,0.01,0.01,0.0,0.28,0.16,0.49,0.01,0.01,0.01,0.01,0.02,0.0099999999999998,30.134998,62.1606196023685,1714.6631,1659.3618,2894.8228,383.2424,1659.3618,1507.9,-1.6,7.9,530.8,517.0,318.0,5.3,0.7,1.1,0.0,3.66760237283637,4.25890243226369,8,,7,5.12515374753885,7.0,3.1500000000000004,3.1778199672698975,2.9654335975646973,0.8935288786888123,1.0526739358901978,0.3683794438838959,-0.9213597178459167,3.1778199672698975,2.9654335975646973,0.8935288786888123,1.0526739358901978,0.3683794438838959,-0.9213597178459167
1213,WWA,12451600,20.3,-120.362938273552,48.1318871127249,-1410.0,1.0,0.42,0.33,0.24,0.0,0.0,0.0,0.0,0.0,0.01,0.49,0.28,0.22,0.0,0.0,0.0,0.0,0.0,0.01,0.14,0.14,0.7,0.01,0.01,0.0,0.0,0.0,0.0,24.48049,193.47405878789,1983.8346,1967.1176,2418.0986,1364.9443,1967.1176,1029.8,-0.8,7.5,547.9,345.3,325.8,6.7,0.7,1.1,0.1,1.6790828008289,4.26364685200113,9,,7,3.05870707271538,7.0,3.35,1.7299072742462158,1.206762433052063,1.1494996547698975,1.4394735097885132,1.0995030403137207,0.2281590700149536,1.7299072742462158,1.206762433052063,1.1494996547698975,1.4394735097885132,1.0995030403137207,0.2281590700149536
